question,answer
رابط الشروط والوظيفة,"أهلا بك، إليك الرابط للإفادة. سعدنا بتواصلك https://bit.ly/36QCkpF"
دورة الفرد الأساسية,"اهلًا بك، يلزم اجتياز دورة الفرد الأساسية لمدة 4 شهور والتي تتضمن الأعمال التخصصية التأسيسية والتدرب على أنظمة الجوازات الآلية قبل صدور قرار التعيين والقبول. نسعد بتواصلكم"
لا يمكن التعديل ,"أهلا بك،  لايمكن التعديل بعد الحصول على رقم الطلب لأن المعلومات المسجله تحت مسئولية المتقدم شخصياً. سعدنا بتواصلك"
دورات الحاسب الآلي,"اهلاً بك ، بالنسبة لدورات الحاسب الآلي الأولوية لمن لديها دورة حسب المدة المحددة في القائمة وبإمكانك اكمال تقديم الطلب إذا ليس لديك الخيارات المحددة . سعدنا بتواصلك"
العمر ,"أهلاً بك، حسب شروط التقديم في النظام أن لا يقل عمر المتقدم عن 21 عاماً و أن لا يزيد عن 35 عاماً . نتمنى لك التوفيق"
طبيعة العمل,"اهلاً بك ، طبيعة العمل ستكون بنظام المناوبات في المطارات المحددة بالإعلان صباحاً ومساءً وليلاً . سعدنا بتواصلك"
المهنة,"أهلا بك، التسجيل ليس له علاقة بالمهنة. سعدنا بتواصلك"
هل تم الاجراء ظهر لي جاري متابعة طلبك,"مرحبًا بك، لم تسجل بعد وحاول إعادة المحاولة ولتأكيد تسجيلك تصلك رسالة على جوالك تحتوي على رقم الطلب. نسعد بخدمتك"
الهوية الوطنية منتيه ممكن اقدم,"مرحبًا بك، التعليمات تشترط سريان الهوية الوطنية. نسعد بخدمتك"
المتصفح,"مرحبًا بك، يرجى تغير نوع المتصفح لتتمكن من اتمام الاجراء. نسعد بك"
درجة القدرات,"أهلا بك، يقبل النظام تقديم الطلب بدون إدخال بيانات درجة اختبار قياس القدرات العامة. نتمنى لك التوفيق "
موقع معهد الجوازات بالرياض ,"أهلا بك، إليك الرابط للإفادة. سعدنا بتواصلك bit.ly/32yAcjt"
نتائج التوظيف,"أهلًا بك، إليك الرابط للإفادة. سعدنا بتواصلك  https://bit.ly/2sZLl06"
ما هي الدول الممنوع السفر لها؟,لإفادتك يرجى التواصل معنا على البريد الإلكتروني: 992@gdp.gov.sa شكرًا لتواصلك 
لدي شكوى / لدي مقترح / أقدر أتواصل معكم عالرسائل الخاصة ؟ ," أهلاً بك، فضلًا تواصل معنا وزودنا بالتفاصيل على البريد الإلكتروني: ‏⁦‪992@gdp.gov.sa‬⁩ ‏شكرًا لتواصلك"
كيف أقدر أشتغل معكم؟ متى يفتح التقديم؟,وعليك متابعة ذلك عبر موقعنا الإلكتروني:gdp.gov.sa شكرًا لاهتمامك ونتمنى لك كل التوفيق  
"عامل خرج ولم يعد من أجازته، هل يقدر يرجع؟",القرار صدر بتاريخ ١٧/٨/١٤٣٦ ومن خرج بعد ذلك يمنع من العودة لثلاث سنوات إلا على نفس صاحب العمل
ما هي أوقات العمل في إدارة الجوازات؟ ,من الساعة ٧:٣٠ صباحًا حتى ٢:٣٠ مساءً
فضلًا تزويدي بالفروع,ىتفضل الفروع عزيزنا: http://bit.ly/2cJ0sx7
"يرجى إفادتي حول تأشيرة الزيارة ""العائلية - التجارية...."" ",إصدار تأشيرة الزيارة من اختصاص وزارة الخارجية. شاكرين تواصلك
كيف أجدد الزيارة الحكومية؟,يلزم وجود طلب بذلك من قبل الجهة الحكومية المستضيفة للمستفيد. شكرًا لتواصلك
انتهت تأشيرة الخروج والعودة وأنا بالخارج هل يحق لي العودة على نفس صاحب العمل؟ علمًا بأن هوية مقيم منتهية,عليك التواصل مع وزارة الخارجية للإفادة. شكرًا لتواصلك
انتهت تأشيرة الخروج والعودة وأنا بالخارج هل يحق لي العودة على نفس صاحب العمل؟ علمًا بأن هوية مقيم سارية,نعم يمكنك التمديد بحسب ضوابط وزارة الخارجية
"عندي استفسار على الرسائل الخاصة، أرجو منكم التواصل معي","شكرًا لتواصلك   """
"هل العسكري يحتاج أجازة ""تصريح"" من الجهة أو المرجع العسكري له للسفر خارج المملكة؟",نعم يلزم وجود تصريح من قبل المرجع العسكري
"عسكري لدي تصريح سفر الأحد، هل يمكنني السفر يوم الجمعة أو السبت؟","وعليكم السلام، التعليمات تشترط الالتزام بما هو موجود بوثيقة السفر. شكراً لك"
"هل يُمكن السفر باستخدام بطاقة العائلة ""سجل الأسرة"" للسفر؟","يلزم إصدار جواز سفر لكل مستفيد، وسجل الأسرة لا يعتبر وثيقة سفر معترف بها خارجيًا"
هل يُمكن السفر إلى فرنسا؟ النرويج؟ بنغلادش.....؟,لإفادتك حول ذلك يرجى التواصل مع وزارة الخارجية. شكرًا لتواصلك
خبر متداول: عند دخول السعودية يلزم البقاء فيها ٨ ساعات؟,الخبر غير صحيح وفي حال وجود أي أخبار تخص المديرية العامة للجوازات سيتم نشرها عبر القنوات الرسمية
" هل يُمكن تجديد هوية زائر الآن؟ ""إجابة جديدة خاصة بهوية زائر""",لا يُمكن التجديد حتى نتيح الخدمة. وسيتم الإعلان عن المستجدات من قبلنا لاحقًا عبر حسابنا في تويتر أو موقعنا الإلكتروني
"أنا خارج المملكة، هل يمكن عمل بلاغ تغيب عن العمل لمكفولي؟","طالما المستفيد بالخارج فلا يمكن ذلك، يلزم إتمام الإجراء بالمراجعة التقليدية"
"قُبلت ولم أحفظ رقم الطلب، كيف أحصل عليه؟ ""تقديم الجوازات""",رابط القبول به استعلام بموجب رقم الهوية الوطنية
هل توجد دفعة ثانية للقبول؟,عزيزنا لا توجد دفعة ثانية
تم قبولي ما الإجراء حاليًا ومتى ستكون المقابلة؟,الدخول للرابط والإستعلام وستجد تاريخ ووقت المقابلة 
"تم قبولي وطلب شهادة دورة حاسب ولغة، وأنا ليس لدي، ما العمل؟","في حال القبول المبدئي سيتم تدقيق الأوراق، وفي حال عدم مطابقتها للشروط سيتم الإستبعاد "
هل يُشترط خلو سجل المرأة من المخالفات المرورية عند إصدار أو تجديد جواز السفر؟,نعم يُشترط ذلك
ما هي آلية إصدار رقم موحد للخليجي؟,"مراجعة أقرب إدارة جوازات، قسم الحاسب الآلي"
الطفل بدأً من أي عمر يتوجب عليه التبصيم؟ , ج / نأمل التواصل معنا عبر البريد الإلكتروني: 992@gdp.gov.sa   موضحا حاله المستفيد م
"بخصوص الدورة 41 وتفاصيلها،",‏https://twitter.com/AljawazatKSA/status/854779310045102081
أنا مواطنة متزوجة من غير سعودي ولي منه طفل.. فهل بالإمكان إضافة الابن على جواز سفري؟,992@gdp.gov.sa
"ابنة مواطنة، والدتي توفت قبل عمل بطاقة ابنة مواطنة، وعند محاولتي لعملها ابلغوني انه لا يمكنني اصدارها لانها توفت. ما العمل؟",شكرًا لتواصلك
كيف أغير مسمى المهنة في الإقامة من زوجة إلى زوجة مواطن بناء على طلب الأحول المدنية,تقدم الزوج لجوازات المنطقة بالاوراق المطلوبة ليتم التعديل
  كيف يمكني طلب زياره لوالدتي من اليمن؟, إجراءات الحصول على تأشيرة زيارة .. من أختصاص وزارة الخارجية ..  
  هل بالإمكان تحويل تأشيرة الزيارة إلي إقامة؟,"  في حال وجود اي اعلانات رسمية من المديرية العامة للجوازات، سيتم الإعلان عنها عبر القنوات الرسمية. نسعد بتواصلك"
هل بهوية زائر يسمحولنا نعبر كل دول الخليج او السعوديا فقط ؟," مرحباً بك، التعليمات لا تجيز منح تأشيرة خروج وعودة لحاملي بطاقة هوية زائر والبطاقة تنتهي بمغادرة الزائر"
السلام عليكم لوسمحت ابغي امدد هوية زائر ايش يلزم علي فعله وشكرا؟,   اولا تسدد الرسوم عبر نظام سداد برقم حدود الزائر التمديد الكترونيا حاليا للزيارات العائليه فقط -  يمكن للمستفيد الذي لديه حساب مفعل في ابشر بعد سداد الرسوم الدخول الى حسابه الالكتروني  ومن ثم الاطلاع على القائمة المنسدله من خدمات الجوازات وطلب خدمة تمديد الرياره واتباع الخطوات .
هل يوجد تأشيرة خروج وعوده لحاملين هوية زائر ؟,التعليمات لا تجيز منح تأشيرة خروج وعودة لحاملي بطاقة هوية زائر والبطاقة تنتهي بمغادرة الزائر .
 كيف اجدد هوية زائر دخلت لنظام ابشر ولم اجد تجديد هوية زائر مع العلم ستنتهي بعد 4 ايام,"مده هوية زائر سته اشهر تحسب من 21 / 9 / 1436 هـ قابلة "" للتمديد """
انا سعودي متزوج يمنية ومعها هوية زائر وعندي ولد ولم يضاف وش الحل؟,عليكم التواصل معنا من خلال البريد الإلكتروني ..  
"أحمل هوية زائر، ولدي مشاكل مع المستضيف هل أقدر أغير المستضيف؟",يمكن تغيير المستضيف بمراجعة الزائر والمستضيف الجديد لأحد مراكز التصحيح
  هل بإمكان تحويل تأشيرة زيارة الى هوية زائر؟,التعليمات لا تجيز تحويل تأشيرة زائرة إلى هوية زائر .
"ما سبب عدم ظهور أيقونة الطباعة لدى المستضيف، علمًا إني سددت في الوقت المحدد لذلك ""هوية زائر""؟",عليكم التواصل معنا عبر البريد.
هل صحيح على حاملين هوية زائر تأمين صحي؟,ج / حاملي هوية زائر ليسوا مطالبين بتأمين طبي. 
وماذا عن من يريد خروج وعود بهوية زائر,التعليمات لا تجيز منح تأشيرة خروج وعودة .. لحاملي بطاقة هوية زائر .. والبطاقة تنتهي بمغادرة الزائر .. 
الي  باقي في جوازه 5 أشهر يحق له يسوي تأشيرة لمده 4 اشهر؟ ,يمكنك ذلك في حال سريان صلاحية هوية مقيم
تعميم ٤٥,الرجاء مراجعة مواقع إنهاء إجراءات الوافدين المخالفين الخاصة بحملة #وطن_بلا_مخالف https://goo.gl/THDv44
متى يبدأ الضبط بالحملة ؟,الضبط مستمر اثناء المهلة ومن يتم ضبطه ستطبق عليه تعليمات الإقامة والعمل. يجب مبادرة المخالف للاستفادة من مهلة #وطن_بلا_مخالف
متى يلزم علينا المغادرة بعد عمل تأشيرة الخروج النهائي ؟,يجب المغادرة قبل انتهاء مهلة حملة #وطن_بلا_مخالف وقبل انتهاء التأشيرة
هل توجد استثناء لحاملين هوية زائر خلال حملة وطن بلا مخالف ؟,لا توجد اي استثناءات للمخالفين للأنظمة في حملة #وطن_بلا_مخالف 
هل يتم الإعفاء على صاحب العمل خلال حملة وطن بلا مخالف ؟,الإعفاءات بحملة #وطن_بلا_مخالف مخصصة للمخالف الوافد وليس صاحب العمل 
يوجد علي مخالفات مرورية / أو سيارة كيف استفيد من الحملة؟ ,ىفضلًا تواصل معنا وزودنا بالتفاصيل على البريد الإلكتروني: 992@gdp.gov.sa شكرًا لتواصلك   
"السلام عليكم، لقد تم الحصول على تأشيرة الخروج النهائي مالعمل الان؟","وعليكم السلام، عليك التوجه مباشرة للمنفذ الحدودي وسيتم انجاز إجراءاتك طالما تم منحك تأشيرة خروج نهائي. شكراً لتواصلك"
كيف ممكن احجز موعد للاستفادة من الحملة ؟,"http://bit.ly/2o56WAp"""
يوجد عندي بصمة حج كيف ممكن استفيد من الحملة ؟," السلام عليكم، يمكنك مراجعة المقر لإنهاء الإجراءات بعد حجز موعدعبر بوابة وزاة الخارجية."
هل الذي لديه بصمة حج ممكن يتستفيد من الحملة ؟,يمكن لمن لديهم مخالفة حج من دون تصريح الإستفادة من حملة #وطن_بلا_مخالف مالم يكن عليه ملاحظات أخرى. شكراً لتواصلك
بخصوص الحمله هل سيتم السفر مباشرة ام سيتعرض المخالف للحبس لفترة ولو مؤقتة,يمكنك الإطلاع على آلية الحملة ويعطى صورة الآلية
هل يتم التجديد لمن اقامته منتهيه ام يجب ان يغادر خلال الحملة ؟,التجديد من قبل صاحب العمل وادا لم يتجاوب يراجع ادارة الوافدين
مممم هل ممكن اصلح الوضع واستفيد من الحملة من غير مغادرة ,حملة #وطن_بلا_مخالف ليست لتصحيح الأوضاع وإنما لمغادرة المخالفين للنظام
ماهي العقوبات المترتبه على المخالفين؟,"أهلاً بك، من لا يستفيد من حملة #وطن_بلا_مخالف سوف تترتب عليه انظمه الإقامه والعمل. شكرًا لتواصلك."
رسالة وصلتني أمس بإعطاء تأشيرة خروج نهائي لمكفولتي الهاربة من سنتين وهذا شي غريب ممكن تفيدوني,"وعليكم السلام، يمكن الوافد الإستفادة من حملة #وطن_بلا_مخالف إذا لم توجد عليه ملاحظة بالنظام. نسعد بخدمتك."
ابي استفيد من الحمله وين اتوجه؟,"وعليكم السلام، تفضل مواقع انهاء إجراءات حملة #وطن_بلا_مخالف . goo.gl/THDv44 شكرًا لتواصلك."
هل السائق الخاص يشمله الرسوم,"مرحبا، في حال لدى العامل المنزلي مرافقين أو تابعين على سجله يشمله قرار المقابل المالي. شكراً لتواصلك"
هل حاملي تأشيرةة الزيارة تشملهم الرسوم,"أهلاً بك، الاستحقاق المالي يشمل المرافقين والتابعين حاملي هوية مقيم وليس تأشيرة الزيارة. شكراً لتواصلك"
من الذي تشملهم الرسوم,الاستحقاق المالي لعموم التابعين والمرافقين والعماله المنزليه تحت كفالة المقيمين الخاضعين للقطاع الخاص . سعدنا بك
هل يوجد رسوم في حال اصدار تأشيرة خروج نهائي,"أهلاً بك، يرجى التأكد من سداد الاستحقاق المالي الخاص بالمرافقين اولًا قبل إجراء تأشيرة الخروج النهائي الى موعد الاصدار"
هل يوجد رسوم لمن خرج ولم يعد,"اهلًا بك، يتم الاسقاط بعد نهاية التأشيرة ويتم استحصال المقابل المالي حتى تاريخ التبليغ بخرج ولم يعد"
هل ممكن تجديد هوية المقيم الخاصة بي بعد اصدار تأشيرة نهائي للتابعين,التعليمات تُجيـز لك التجديد ولكن بما أن الابناء لم يغادروا المملكة المقابل المالي يطلب سداد رسوم التابعين
هل زوجة المواطن او زوج المواطنه عليهم رسوم,زوج المواطنه وزوجة المواطن معفيين من المقابل المالي عليهم مالم يكن على هوياتهم  تابعين او مرافقين
اخوي عندي سوال يقلون هاذا النضام فقط العسكر الحرس الملكي فقط هل عاذا صحيح ام لا وشكراً,"أهلاً بك، الخدمة متوفرة لجميع القطاعات العسكرية في حال تم طلب تفعيل الخدمة. شكراً لتواصلك"
السلام عليكم,"أهلاً بك، الخدمة متوفرة لجميع القطاعات العسكرية في حال تم طلب تفعيل الخدمة. شكراً لتواصلك"
تم التقدينم على الاجاظة من اسبوع يحتاج احضر الوثيقة,"مرحبا، يلزم احضار الوثيقة في حال عدم ربطها الكترونياً سعدنا بك"
هل ممكن اقدر اتحقق من موقعي في ابشر (حسابي الشخصي) اذا كانت الاجازه مدخله او لا ؟,"أهلاًً بك، يتم الإجراء أخي الكريم عبر مرجعك العسكري شكراً لتواصلك"
